persona_id,persona,engaging,coherence,sum
0,1984 is my favorite book .,0.25029256479319884,0.7024801992299672,0.952772764023166
1,a already have a children .,0.335412721557077,0.7617167530961524,1.0971294746532294
2,a already have a step children .,0.2969223548207083,0.7371466136710296,1.034068968491738
3,a hobby of mine is the drums .,0.27725476131308824,0.6959668306121785,0.9732215919252667
4,"and , i love psychoanalyzing my friends .",0.41234117305793916,0.6850369170426802,1.0973780901006194
5,"and , my best friend is abigail .",0.3205298106659029,0.7635189249331233,1.0840487355990263
6,ariel is my favorite princess .,0.2984320465111523,0.7729156050063466,1.071347651517499
7,"at night , i party hard in the atlanta club scene , and i never miss a music festival .",0.30635414094649605,0.6567211933952422,0.9630753343417382
8,"before i die , i want to skydive .",0.3541481241227302,0.7107815808276428,1.064929704950373
9,black coffee is my addiction .,0.35080982271392713,0.7101317208644105,1.0609415435783376
10,both my moms tell me they love me when i call them .,0.31575144410089706,0.7689936471342662,1.0847450912351633
11,both my parents are creative .,0.34655125534845865,0.7549119925879495,1.1014632479364082
12,both my parents were over 6 foot tall .,0.3284035379147099,0.7648032591978335,1.0932067971125434
13,britney spears is a wonderful singer who really touches me .,0.2132976514949405,0.7106124929491671,0.9239101444441076
14,brownies are my favorite dessert .,0.27810780770596466,0.7031191413066153,0.98122694901258
15,"but , i feel lost and far away from who i truly am .",0.4378997505373263,0.6801137241286597,1.118013474665986
16,cher from clueless is my idea of perfection .,0.30268153616634663,0.7686999038141948,1.0713814399805415
17,chocolate chip cookies are the tastier things in my opinion .,0.2582428791356506,0.7226332076425024,0.980876086778153
18,coffee is important to me .,0.34416574424903956,0.7395129484530116,1.0836786927020512
19,coffee is my preferred beverage .,0.34170633819667273,0.7151612494294568,1.0568675876261295
20,cooking is one of my pass times .,0.35317887697237893,0.6781238501607731,1.031302727133152
21,country music makes me cringe .,0.2416827495871985,0.6906927539291701,0.9323755035163686
22,drawing in traditional style is my pasion .,0.34780275855518994,0.7150680863996968,1.0628708449548867
23,driving in the country side is a pastime .,0.3121223726957396,0.6904418751806247,1.0025642478763643
24,during the week i go to college to become a lawyer .,0.4262646169263462,0.6602277080819476,1.0864923250082938
25,every day i drive an hour to work in this horrible traffic .,0.4533593291489524,0.7481857079188785,1.201545037067831
26,every fall i visit my sister in canada .,0.3664495641460235,0.728247528371412,1.0946970925174355
27,everyday after work i buy my dog a dog biscuit .,0.2866087598595186,0.7290933567128377,1.0157021165723563
28,everyday i go swimming at the y .,0.22819762691869983,0.6852019646739791,0.9133995915926789
29,everyone says my pecan pie is the best they have ever had .,0.2530627064188593,0.7395924065276631,0.9926551129465224
30,favorite band is the beetles .,0.2489236678193265,0.6967322980017343,0.9456559658210608
31,ferrari is my favorite car company .,0.31776439709210536,0.7563267337791331,1.0740911308712384
32,food and water are essential to me in life .,0.35189109612838365,0.7696709208557877,1.1215620169841714
33,formal situations make me uncomfortable .,0.3914761584637745,0.7537274976348272,1.1452036560986016
34,god has always been put first in my life .,0.3190681518135534,0.757861192522796,1.0769293443363495
35,going snorkeling is my favorite thing to do .,0.18469402809205349,0.6558487002093898,0.8405427283014433
36,grandma makes jewelry .,0.31669739909193595,0.7430606241459827,1.0597580232379187
37,grandpa takes me to get ice cream .,0.2655858021535096,0.7180794521909775,0.983665254344487
38,gymnastics is my favorite sport .,0.29654385837056907,0.7262613146012882,1.0228051729718572
39,he later became a bartender .,0.35565237454284215,0.7083400102683299,1.063992384811172
40,he taught me right from wrong .,0.3327868548913102,0.7754406018311784,1.1082274567224886
41,he worked hard .,0.3929328359918145,0.7754921302966977,1.1684249662885122
42,hello i just moved here from germany .,0.4489966563305643,0.7155231378405915,1.1645197941711558
43,helping people makes me happy .,0.3944630727637559,0.7217578462809797,1.1162209190447356
44,i actually like wearing suits and ties .,0.3701289926939353,0.7160959432476375,1.0862249359415728
45,i adopted all my dogs .,0.2317442979547195,0.7263790190804684,0.9581233170351879
46,i almost always wear a t shirt and jeans .,0.37483663237071596,0.7371177535078459,1.1119543858785619
47,i also dance and sing .,0.2626315659836109,0.7078916535031112,0.9705232194867222
48,i also give blood monthly in honor of my sister who died .,0.39562997169196024,0.7171942964978371,1.1128242681897973
49,i also have a dog walking business .,0.2885362977976911,0.6976445996656366,0.9861808974633277
